"TABLE_NAME"	"COLUMN_ID"	"COLUMN_NAME"	"DATA_TYPE"	"DATA_LENGTH"	"DATA_PRECISION"	"DATA_SCALE"	"NULLABLE"
"ACCOUNTS"	1	"STATION_ID"	"NUMBER"	22		0	"N"
"ACCOUNTS"	2	"NUM_LOTS"	"NUMBER"	22		0	"Y"
"ACCOUNTS"	3	"IS_OUTCAST"	"CHAR"	1			"Y"
"ACCOUNTS"	4	"CHEATER_LEVEL"	"NUMBER"	22		0	"Y"
"ACCOUNTS"	5	"MAX_LOTS_ADJUSTMENT"	"NUMBER"	22		0	"Y"
"ACCOUNTS"	6	"HOUSE_ID"	"NUMBER"	22	20	0	"Y"
"ACCOUNT_EXTRACT"	1	"USER_ID"	"NUMBER"	22			"N"
"ACCOUNT_EXTRACT"	2	"SUBSCRIPTION_ID"	"NUMBER"	22			"Y"
"ACCOUNT_EXTRACT"	3	"PLAN_ID"	"NUMBER"	22			"Y"
"ACCOUNT_EXTRACT"	4	"PLAN_DESC"	"VARCHAR2"	255			"Y"
"ACCOUNT_EXTRACT"	5	"STATUS"	"NUMBER"	22			"Y"
"ACCOUNT_EXTRACT"	6	"STATUS_DESC"	"VARCHAR2"	60			"Y"
"ACCOUNT_EXTRACT"	7	"CLOSE_DATE"	"DATE"	7			"Y"
"ACCOUNT_EXTRACT"	8	"TOTAL_ENTITLED_TIME"	"NUMBER"	22			"Y"
"ACCOUNT_INFO"	1	"STATION_ID"	"NUMBER"	22			"N"
"ACCOUNT_INFO"	2	"COMPLETED_TUTORIAL"	"CHAR"	1			"Y"
"ACCOUNT_MAP"	1	"PARENT_ID"	"NUMBER"	22	38	0	"N"
"ACCOUNT_MAP"	2	"CHILD_ID"	"NUMBER"	22	38	0	"N"
"ACCOUNT_REWARD_EVENTS"	1	"STATION_ID"	"NUMBER"	22			"N"
"ACCOUNT_REWARD_EVENTS"	2	"EVENT_ID"	"VARCHAR2"	255			"N"
"ACCOUNT_REWARD_EVENTS"	3	"DATE_CONSUMED"	"DATE"	7			"Y"
"ACCOUNT_REWARD_EVENTS"	4	"CLUSTER_ID"	"NUMBER"	22			"Y"
"ACCOUNT_REWARD_EVENTS"	5	"CHARACTER_ID"	"NUMBER"	22			"Y"
"ACCOUNT_REWARD_ITEMS"	1	"STATION_ID"	"NUMBER"	22			"N"
"ACCOUNT_REWARD_ITEMS"	2	"ITEM_ID"	"VARCHAR2"	255			"N"
"ACCOUNT_REWARD_ITEMS"	3	"DATE_CLAIMED"	"DATE"	7			"Y"
"ACCOUNT_REWARD_ITEMS"	4	"CLUSTER_ID"	"NUMBER"	22			"Y"
"ACCOUNT_REWARD_ITEMS"	5	"CHARACTER_ID"	"NUMBER"	22			"Y"
"ACTIVE_RESOURCES_DATA"	1	"RESOURCE_ID"	"NUMBER"	22	20	0	"N"
"ACTIVE_RESOURCES_DATA"	2	"RESOURCE_NAME"	"VARCHAR2"	100			"Y"
"ACTIVE_RESOURCES_DATA"	3	"RESOURCE_CLASS"	"VARCHAR2"	100			"Y"
"ACTIVE_RESOURCES_DATA"	4	"ATTRIBUTE_NAME"	"VARCHAR2"	4000			"Y"
"ACTIVE_RESOURCES_DATA"	5	"ATTRIBUTE_VALUE"	"VARCHAR2"	4000			"Y"
"ARMOR"	1	"OBJECT_ID"	"NUMBER"	22	20	0	"N"
"ARMOR"	2	"LAYER"	"NUMBER"	22		0	"N"
"ARMOR"	3	"EFFECTIVENESS"	"NUMBER"	22		0	"Y"
"ARMOR"	4	"INTEGRITY"	"NUMBER"	22		0	"Y"
"ARMOR"	5	"SPECIAL_PROTECTIONS"	"VARCHAR2"	1000			"Y"
